,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
177,002264.SZ,2021/4/6,4.15,4.19,4.13,4.18,4.15,0.03,0.7229,18972,7900.533
178,002264.SZ,2021/4/2,4.14,4.16,4.11,4.15,4.13,0.02,0.4843,20201,8355.979
179,002264.SZ,2021/4/1,4.14,4.14,4.11,4.13,4.14,-0.01,-0.2415,18503,7625.923
180,002264.SZ,2021/3/31,4.1,4.14,4.08,4.14,4.12,0.02,0.4854,24068.03,9893.519
181,002264.SZ,2021/3/30,4.2,4.22,4.1,4.12,4.23,-0.11,-2.6005,38170.1,15775.282
182,002264.SZ,2021/3/29,4.3,4.3,4.22,4.23,4.29,-0.06,-1.3986,26459,11223.442
183,002264.SZ,2021/3/26,4.29,4.29,4.24,4.29,4.29,0,0,24963,10663.899
184,002264.SZ,2021/3/25,4.26,4.3,4.25,4.29,4.25,0.04,0.9412,26388,11305.26
185,002264.SZ,2021/3/24,4.29,4.3,4.24,4.25,4.29,-0.04,-0.9324,21936,9355.905
186,002264.SZ,2021/3/23,4.35,4.35,4.24,4.29,4.32,-0.03,-0.6944,30778,13179.114
187,002264.SZ,2021/3/22,4.25,4.33,4.24,4.32,4.24,0.08,1.8868,26511,11394.583
188,002264.SZ,2021/3/19,4.25,4.29,4.23,4.24,4.27,-0.03,-0.7026,21330.59,9091.212
189,002264.SZ,2021/3/18,4.32,4.34,4.25,4.27,4.32,-0.05,-1.1574,32437.1,13901.025
190,002264.SZ,2021/3/17,4.23,4.39,4.23,4.32,4.24,0.08,1.8868,58195,25133.235
191,002264.SZ,2021/3/16,4.21,4.24,4.19,4.24,4.21,0.03,0.7126,34805,14667.163
192,002264.SZ,2021/3/15,4.16,4.22,4.13,4.21,4.17,0.04,0.9592,31902,13385.131
193,002264.SZ,2021/3/12,4.13,4.17,4.11,4.17,4.16,0.01,0.2404,19778,8196.143
194,002264.SZ,2021/3/11,4.12,4.16,4.09,4.16,4.13,0.03,0.7264,21398,8845.852
195,002264.SZ,2021/3/10,4.19,4.19,4.11,4.13,4.17,-0.04,-0.9592,28303,11722.836
196,002264.SZ,2021/3/9,4.23,4.26,4.05,4.17,4.24,-0.07,-1.6509,35491.5,14796.373
197,002264.SZ,2021/3/8,4.3,4.34,4.23,4.24,4.29,-0.05,-1.1655,37702,16158.16
198,002264.SZ,2021/3/5,4.21,4.32,4.21,4.29,4.22,0.07,1.6588,46074.15,19735.497
199,002264.SZ,2021/3/4,4.18,4.3,4.17,4.22,4.2,0.02,0.4762,48802,20667.218
200,002264.SZ,2021/3/3,4.16,4.21,4.15,4.2,4.16,0.04,0.9615,29269,12248.914
201,002264.SZ,2021/3/2,4.22,4.25,4.13,4.16,4.24,-0.08,-1.8868,31263,13119.332
202,002264.SZ,2021/3/1,4.2,4.25,4.16,4.24,4.19,0.05,1.1933,35950.05,15118.955
203,002264.SZ,2021/2/26,4.17,4.21,4.11,4.19,4.18,0.01,0.2392,24275,10141.753
204,002264.SZ,2021/2/25,4.22,4.23,4.17,4.18,4.18,0,0,26533.1,11123.512
205,002264.SZ,2021/2/24,4.15,4.24,4.15,4.18,4.17,0.01,0.2398,29900.18,12541.105
206,002264.SZ,2021/2/23,4.24,4.25,4.15,4.17,4.24,-0.07,-1.6509,37712.01,15767.088
207,002264.SZ,2021/2/22,4.23,4.33,4.21,4.24,4.23,0.01,0.2364,61590.19,26268.805
208,002264.SZ,2021/2/19,4.13,4.23,4.12,4.23,4.16,0.07,1.6827,51637.5,21564.068
209,002264.SZ,2021/2/18,4.12,4.19,4.1,4.16,4.12,0.04,0.9709,53804.47,22244.427
210,002264.SZ,2021/2/10,4.02,4.12,4.01,4.12,4.02,0.1,2.4876,40588,16513.32
211,002264.SZ,2021/2/9,4.03,4.06,4,4.02,4.03,-0.01,-0.2481,23262.26,9369.901
212,002264.SZ,2021/2/8,4.02,4.06,3.96,4.03,4.01,0.02,0.4988,18708,7507.004
213,002264.SZ,2021/2/5,4.02,4.05,3.97,4.01,3.98,0.03,0.7538,21712,8702.826
214,002264.SZ,2021/2/4,4.05,4.05,3.93,3.98,4.04,-0.06,-1.4851,33872,13497.875
215,002264.SZ,2021/2/3,4.08,4.12,4.01,4.04,4.12,-0.08,-1.9417,35942,14542.258
